"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;NA	Sulfitobacter		0.19	0.14		0.17	0.09		0.47	0.25	0.24	0.53	1.59	0.16	0.44	0.16	0.56	0.32	0.07	0.51	1.06	0.76	1.84	0.85	4.1	0.8	0.46	0.37	0.33	0.43	3.38	2.08	2.48	4.24	2.21	1.41	0.73	1.78	2.06	2.01	1.37	0.82	1.62	1.05	0.3	0.09	0.32	0.2	0.11	0.19	0.16	1.02	0.21	0.57	0.45	0.54	0.09	0.4	0.05	0.66	0.44	0.08	0.44	0.88	2.17	2.02	3.1	4.29	0.58	1.59	0.43	0.93	0.47	0.7	0.47	0.73	0.75	1.2	0.77	0.67	0.41	0.61	0.33	0.39	0.33	0.12
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Yoonia_Loktanella;NA	Yoonia_Loktanella							0.09					0.02				0.09	0.02		0.12	0.04				0.2							0.18	0.06		0.03	0.03	0.02			0.16												0.01	0.02	0.08	0.04	0.28		0.15			0.07		0.03	0.1	0.7	0.26	0.23	0.79	0.1		0.05					0.11				0.04	0.03					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;AEGEAN_169 marine group;NA;NA	AEGEAN_169 marine group	0.95	0.41	0.68	0.34	0.11	0.54	0.5	0.34	0.14	0.33	0.22	0.24	0.51	0.12	0.36	0.09	0.45	0.53	0.26	0.17	0.57	0.15	0.32	0.07	0.39	0.31	0.34	0.4	0.5	0.15	0.16	0.06	0.13	0.23	0.45	0.55	1.07	0.65	0.31	0.88	0.41	0.76	1.08	0.09	0.07	0.02	0.07	0.38	0.04	0.1	0.19	0.21	0.14	0.27	0.24	0.53	0.13	0.23		0.27	0.57	0.22	0.18	0.16	0.09	0.07	0.05	0.2	0.11	0.3		0.07		0.12	0.07	0.08	0.37	0.11	0.12	0.04	0.07	0.07	0.11	0.12	0.12
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetospira;NA	Magnetospira		0.25	0.52	0.31	1.43	0.39	0.05	0.22	0.73	0.93	0.4	0.37	0.18		0.59	0.74	0.38	0.18	0.1	0.45	0.43	0.34	0.48	1.19	0.63	1.08	0.13	0.27			0.09	0.09		0.09	0.28	0.73	0.17	0.22	0.11	0.22	0.23	0.24	0.13	1.17	1.6	2.42	1.74	0.56	1.32	0.7	0.74	0.87	0.86	0.36	0.67	0.13	1.26	0.52	0.39	0.31	0.16	0.31	0.59	0.66	0.48	1.12	0.33	0.68	0.52	0.49	0.62	0.88	0.62	0.51	0.9	1.4	0.81	1.01	0.67	0.8	0.81	1.09	0.9	1.11	1.02
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;NA;NA	Magnetospiraceae	0.83	0.72	1.44	0.49	0.3	1.04		0.28	0.24	0.13	0.26	0.36	0.46	0.21	0.26		0.13	0.42		0.06	0.83	0.33	1.05	0.17	0.19	0.34	0.56	0.38	0.34		0.06	0.08	0.04	0.06	0.43	0.54	0.33	0.55	0.12	0.54	0.52	0.04	0.29	0.15	0.25	0.33	0.04	1.43	0.27	0.29	0.55	0.4	0.13	0.36	0.13	0.19	0.18	0.2	0.33	0.25	0.07	0.48	0.13		0.12	0.05		0.22	0.61	0.86	0.9		0.09	0.16	0.19	0.14	0.21	0.3	0.18	0.17	0.04	0.28	0.08	0.17	0.32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;NA;NA;NA	Rhodospirillales																																																																	0.02																				
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;NA	Rhodospirillaceae																																																																				0.02																	
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;AB1;NA;NA	AB1								0.01																					0.01				0.1		0.11																														0.01			0.02								0.03									
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;NA;NA	Anaplasmataceae			0.05	0.08	0.08		0.18	0.31	0.28	0.17	0.24	0.06	0.21	0.14	0.65		0.34	0.15	0.15	0.29	0.25	0.84	0.12	0.12	1.76	0.22	0.08	0.01	0.03	0.01	0.08			0.15	0.08	0.17	0.05	0.04		0.19		0.03	0.08			0.04			0.06	0.08	0.11	0.17	0.22	0.14	0.03	0.17	0.23	0.52	0.06	0.15	0.12	0.08	0.39	0.07	0.11	0.18	0.18	0.09	0.03	0.1	0.05	0.02			0.08	0.09	0.02	0.05	0.06	0.01		0.03	0.02		
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;NA	Wolbachia																	0.01													0.11	0.22	0.13	0.03						0.03				0.03									0.01								0.02												0.01									0.01				
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Candidatus Hepatincola;NA;NA	Candidatus Hepatincola																																															0.02																																						
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Fokiniaceae;MD3_55;NA	MD3_55				0.03													0.01												0.02	0.04			0.01	0.03					0.01		0.02			0.01														0.02		0.02													0.03		0.02						0.04		0.03		0.02
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Cryptoprodotis;NA	Candidatus Cryptoprodotis																																																																															0.03						
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Hemipteriphilus;NA	Candidatus Hemipteriphilus												0.03	0.01	0.02				0.05															0.04			0.03		0.01									0.01									0.03																													
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira;NA	Candidatus Megaira							0.18	0.21	0.09		0.62	0.02	0.01	1.81	0.01	0.17	0.16	0.01		0.16					0.02	0.01	0.09		0.19		0.09	0.06	0.03		0.03				0.12					0.2	0.02	0.04	0.02				0.03			0.58	0.06	0.03	0.11		0.54	0.26		0.03	0.07		0.09		0.02	0.02														0.08	0.12	0.05	0.03
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;NA;NA	Rickettsiaceae				0.18		0.27	0.05	0.04	0.05	0.06	0.11	0.09	0.01	0.05		0.06	0.05	0.03	0.06	0.21	0.03	0.11	0.04	0.02	0.46	0.12	0.01	0.04		0.13	0.27	0.18		0.18	0.06	0.03	0.07	0.05	0.22	0.12	0.2	0.17	0.3	0.09			0.03	0.09	0.03	0.1	0.05		0.03	0.06		0.02	0.05	0.03	0.06				0.18	0.01	0.05		0.13	0.05		0.01				0.02				0.03			0.01	0.01			
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;S25_593;NA;NA	S25_593									0.1	0.07	0.03	0.03													0.03																												0.06		0.05				0.03			0.02			D																				
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;NA;NA	SM2D12																																		0.13																																																			
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;bac2nit3;NA;NA	bac2nit3																													0.1																																																								
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;NA	Clade Ia	19.74	15.7	15.91	12.88	6.23	14.95	15.43	9.52	14.92	13.55	15.39	23.47	21.63	8.22	16.91	15.03	14.53	24.82	14.57	21.48	21.16	11.16	17.77	19.56	25.64	20.11	16.23	19.42	16.52	13.92	7.3	11.08	10.52	14.21	20.5	20.78	19.09	17.24	13.43	19.19	17.34	14.8	21.73	11.28	21.21	13.08	18.89	11.13	7.02	14.53	18.89	16.61	19.57	15.18	19.25	21.86	13.67	14.57	9.57	11.86	22.44	17.18	18.63	15.07	12.02	15.99	14.78	20.38	20.46	17.45	11.76	6.1	3.93	9.01	14.75	11.57	20.26	17.06	16.14	18.04	9.01	14.14	5.93	16.83	11.49
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ib;NA	Clade Ib																																								0.02																																													
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;NA;NA	Clade I	0.12	0.05	0.08	0.13			0.23	0.04	0.24	0.13	0.11	0.09	0.07	0.11	0.14	0.21	0.17	0.09	0.23	0.33	0.16	0.08	0.15	0.11	0.12	0.11	0.06	0.13	0.05	0.08			0.02	0.02	0.05	0.08	0.03		0.04	0.03	0.06	0.03	0.03	0.11	0.09	0.1	0.07	0.11	0.04	0.51	0.07	0.15	0.24	0.18	0.22	0.07	0.21	0.07	0.13	0.08	0.07	0.11	0.09	0.22	0.08	0.05	0.26	0.13	0.08	0.08	0.11	0.02	0.02	0.11	0.02	0.04	0.08	0.02	0.04		0.03	0.03	0.04	0.19	0.05
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade II;NA;NA	Clade II	0.82	1.71	1.14	1.68	0.52	1.09	1.76	0.8	3.12	2.74	3.34	1.71	1.73	1.16	1.31	1.17	2.14	1.91	3.32	2.97	2.86	0.36	2.85	1.13	3.18	3.05	0.42	1.74	0.64		0.03	0.04	1.12	0.89	0.44	0.99	0.4	0.12	0.44	0.5	0.31	0.35	0.21	0.97	1.17	0.8	1.27	1.33	0.24	2.23	0.7	2.8	3.01	3.23	2.86	1.55	2.38	1.03	1.6	2.23	1.83	2.18	1.49	1.18	1.13	0.93	1.94	2.37	1.43	1.31	0.9	0.27	0.49	0.5	2.13	0.69	0.21	0.91	0.76	1.32	0.24	0.9	0.82	1.44	1.11
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade III;NA;NA	Clade III	0.58		0.26				0.81		0.11		0.01	0.2	0.35			0.32	0.07	0.18	0.12	0.28	0.47		0.32		0.24		0.16	0.35		0.49		0.24	0.46	0.18		0.17	0.49	0.33	0.28	0.42	0.22	0.19	0.59		0.08						0.1		0.05	0.16	0.05	0.15		0.09	0.22	0.18		0.14	0.13	0.01	0.06		0.24	0.01	0.09	0.07	0.15				0.18					0.04		0.04	0.08	0.19	0.08
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade IV;NA;NA	Clade IV	1.58	0.75	1.06	0.37		0.87	0.99	0.19	0.62	0.52	0.53	0.38	0.54	0.23	0.84	0.29	0.95	0.65	0.35	0.55	0.63	0.25	0.44	0.18	0.92	0.72	0.95	0.67	0.83	0.3	0.04		0.05	0.42	1.29	1.38	1.48	1.06	1	2.4	0.66	1.87	1.52	0.04	0.07	0.07		0.78	0.02	0.23	0.38	0.57		1.01	0.37	0.62		0.7	0.37	0.59	0.47	0.38	0.42	0.21	0.08	0.13	0.13	0.26	0.25	0.47	0.25				0.07		0.77	0.23	0.15	0.16	0.03	0.05		0.1	0.08
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;NA;NA;NA	SAR11 clade	0.61	0.55	0.38	0.83		0.09	0.88		0.89	0.63	0.49	0.28	0.49	0.43	0.41	0.45	0.29	0.39	0.48	0.36	0.65	0.23	0.38	0.23	0.68	0.57		0.38	0.53		0.06	0.09	0.34		0.17	0.27	0.16	0.07	0.31	0.29		0.12	0.16	0.48	0.94	0.38	0.39		0.26	0.77	0.34	0.74	0.56	0.57	0.57	0.31	0.8	0.23		0.59	0.54	0.54	0.34	0.36	0.23	0.03	0.38	0.41	0.46	0.43		0.18		0.3	0.58	0.35	0.47	0.27	0.28	0.31	0.27	0.27	0.27	0.48	0.29
Bacteria;Proteobacteria;Alphaproteobacteria;Thalassobaculales;Nisaeaceae;OM75 clade;NA	OM75 clade																							0.01					0.01																										0.03									0.05					0.04																	
Bacteria;Proteobacteria;Gammaproteobacteria;AT_s2_59;NA;NA;NA	AT_s2_59																																																													0.02																								0.02
Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Arenicella;NA	Arenicella				0.02	0.89						0.05	0.05			0.06	0.15							0.02	0.52		0.01																			0.36	0.48	0.18				0.08							0.08		0.05		0.03		0.01	0.23	0.4	0.2	0.02	0.23		0.07	0.14	0.19	0.15		0.36			0.22	0.16	0.12	0.06	0.29	0.09	0.11
Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;HTCC5015;NA	HTCC5015																																									0.03																																												
Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;NA;NA	Arenicellaceae					0.03				0.04	0.09	0.09		0.57		0.17	0.26	0.01	0.08		0.07							0.16		0.29				0.01											0.13		0.11	0.32		0.36	0.2	0.21	0.13			0.09	0.49	0.05	0.06		0.18	0.15	0.04		0.15	0.06	0.11	0.14	0.06	0.03	0.07	0.06	0.01		0.06			0.06				0.01		0.02	0.02	0.14
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;NA;NA;NA	B2M28									0.04	0.13			0.34		0.07	0.1	0.01																			0.01									0.2	0.24	0.31		0.27	0.05	0.06	0.04	0.13		0.08	0.67	0.28	0.01		0.12	0.2	0.01		0.07	0.1	0.14	0.08				0.01			0.12	0.01	0.04	0.04		0.01		0.07				
Bacteria;Proteobacteria;Gammaproteobacteria;BD7_8;NA;NA;NA	BD7_8					0.13						0.02		0.41		0.13	0.2	0.05	0.09	0.06	0.04				0.01			0.01		0.1							0.05					0.01			0.15	0.31	0.27	0.36		0.36	0.19	0.11	0.1			0.15	0.47	0.25	0.06		0.18	0.24	0.08		0.07	0.09	0.1	0.14	0.05		0.02		0.11	0.03	0.06		0.09		0.05			0.19	0.04	0.09		0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;RS62 marine group;NA	RS62 marine group	0.1			0.07	0.01							0.15		0.23								0.41		0.27					0.34		1.11	1.23	0.41	0.22	0.18		0.26		1.07	0.22	0.19		0.3					0.08			0.08			0.12	0.09				0.52						0.04		0.14		0.22		0.2	0.04	0.01	0.04			0.12						0.04		
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;NA	Methylotenera									0.01							0.02								0.07	0.04					0.1	0.43	0.21	2.22			0.06	0.12	0.22	0.06	0.16	0.06	0.22	0.23						0.03		0.04							0.01					0.02	0.01	0.03	0.04			0.03		0.04		0.02			0.04		0.03			0.01		0.05	0.01	
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;OM43 clade;NA	OM43 clade	2.06	1.07	1.51	0.95	0.82	1.05	0.79	0.6	1.75	2.22	1.07	1.51	1.25	0.82	1.53	1.55	1.59	1.54	1.05	1.86	2.03	0.83	1.8	1.82	1.94	1.78	1.68	1.86	1.51	0.55	0.56	0.83	2.56	0.57	1.14	2.23	2.36	2.29	0.84	1.64	1.02	2.2	1.84	1.24	3.25	1.52	2.46	0.92	1	1.63	1.35	1.36	1.45	1.36	0.93	1.02	1.29	1.57	0.63	1.32	1.57	1.17	1.57	1.43	1.22	1.13	1.29	1.26	1.52	1.11	0.73	0.65	0.57	0.82	1.14	1.97	1.97	1.52	1.46	1.8	0.94	1.31	0.85	1.46	1.04
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;IS_44;NA	IS_44			0.24	0.09				0.37	0.09		0.15	0.28	0.23		0.13		0.26	0.11	0.04		0.12	0.09	0.1	0.08		0.19		0.14	0.14				0.01		0.11	0.16	0.39	0.73	0.04	0.37	0.06	0.42	0.25		0.07			0.13	0.11		0.13	0.07	0.03	0.15	0.08	0.16		0.07		0.25	0.15	0.13	0.09		0.03	0.02	0.01	0.04	0.16	0.01	0.16		0.04		0.03		0.18	0.09	0.05			0.07			0.08
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;NA	Nitrosomonas									0.15	0.31			0.05				0.12				0.01																							0.02									0.49															0.28					0.09	0.12				0.14	0.14			0.32	0.3		
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;NA	Collimonas																																0.02																																																					
Bacteria;Proteobacteria;Gammaproteobacteria;CHAB_XI_27;NA;NA;NA	CHAB_XI_27																																																				0.01											0.11																						
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;NA;NA	Sedimenticolaceae											0.03	0.03	0.19		0.04			0.06																										0.06		0.06	0.09		0.06	0.02	0.05				0.06	0.22	0.05	0.02		0.03	0.05				0.03		0.04	0.04			0.02						0.04								0.01
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Sedimenticola;NA	Sedimenticola										0.04			0.11		0.02																																0.07		0.11	0.09		0.01				0.25				0.07				0.04	0.01	0.05	0.04	0.01																	
Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella;NA	Coxiella																								0.01																																							0.02	0.01				0.01																	
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;NA;NA	Diplorickettsiaceae										0.02						0.02				0.05									0.12																		0.01								0.02								0.12																						
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;NA;NA	Ectothiorhodospiraceae	0.2	0.19	0.26	0.12							0.08		0.18		0.12	0.12	0.17				0.07		0.08		0.39		0.09	0.09		0.03					0.05		0.02			0.06			0.05			0.06				0.09	0.12	0.05			0.04		0.06	0.1		0.06	0.15	0.1		0.15	0.05	0.07	0.05	0.09	0.09					0.05	0.13				0.11					0.11	0.06
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Paraglaciecola;NA	Paraglaciecola					0.21					0.13	0.02		0.03			0.06				0.02		0.11		0.09						0.71	0.44	0.85	0.02						0.2					0.37	0.02		0.13		0.26	0.06	0.07				0.06	0.05	0.18	0.01		0.1	0.01		0.07		0.02	0.13	0.04	0.01				0.17	0.12	0.08			0.1	0.02	0.04		0.18	0.03	0.08	0.02	
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Colwellia;NA	Colwellia					0.1				0.12		0.05	0.09	0.13		0.09	0.08	0.02		0.09	0.05	0.01			0.01				0.03				0.03	0.08			0.13								0.25		0.06	0.18		0.1	0.02	0.05	0.01	0.03	0.06	0.01	0.16	0.15	0.01		0.07	0.04	0.18		0.09	0.09		0.14	0.6	0.13	0.97		0.04	0.1	0.01	0.16			0.07	0.15	0.29	0.1	0.09	0.22	0.18	0.44
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;NA;NA	Colwelliaceae					0.11				0.01						0.01																																0.07			0.04																					0.01	0.14		0.02				0.03		0.03	0.06		0.06		0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;NA;NA	Kangiellaceae		0.04	0.08	0.02		0.16		0.09	0.04	0.04		0.09		0.07			0.03				0.15		0.05	0.12		0.02		0.04		0.08		0.21				0.15	0.1	0.08		0.11	0.15	0.08	0.05		0.12						0.21	0.07			0.02			0.04				0.08		0.04	0.03	0.06			0.16	0.08	0.13	0.1	0.07	0.03	0.09	0.06		0.04			0.14	0.03	0.09	0.05	0.05
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts;NA	endosymbionts																										0.02																																																											
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Moritellaceae;Moritella;NA	Moritella					0.08	0.09				0.04		0.02	0.06		0.02	0.1	0.01																0.01													0.13	0.18			0.14		0.16			0.03	0.26	0.11				0.04				0.05	0.03	0.12	0.07		0.07		0.01		0.07	0.05			0.02	0.08	0.07	0.17	0.16		0.06	0.05
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;NA;NA	Pseudoalteromonadaceae																																														0.05	0.17																																						
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas;NA	Pseudoalteromonas	0.15	0.16			0.3	0.17	0.2				0.07																												0.27		0.01				0.12	0.07		0.29																																	0.03				
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Psychromonadaceae;Psychromonas;NA	Psychromonas					0.04				0.06	0.19	0.09		0.66		0.08	0.49	0.02	0.07	0.01		0.02			D												0.03				0.01				0.18	0.07	0.13	0.17		0.67	0.38	0.05	0.08	0.19	0.08	0.15	1.33	0.02	0.07		0.32	0.28	0.03	0.03	0.28	0.27	0.15	0.14	0.08	0.27	0.05	0.13	0.06	0.16	0.44		0.1	0.06	0.13	0.03	0.05	0.6	0.14	0.1	0.02	0.13
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Ferrimonas;NA	Ferrimonas																																																					0.08									0.01																							
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Psychrobium;NA	Psychrobium																																																																																					0.03
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella;NA	Shewanella													0.01																																						0.05																																		
Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella;NA	Francisella	0.12	0.33	0.5	1.06							0.02		0.13		0.01		0.04	0.26		0.01	0.04	0.12									0.08	0.06	0.09	0.05		0.03	0.02			0.04	0.06		0.01	0.02				0.54			0.04			0.04		0.08		0.03		0.02	0.28	0.02	0.08	0.01								0.07	0.07	0.21	0.24	0.04		0.05	0.08	0.16	0.04	0.07	0.02	0.06	0.13
Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;NA;NA	Francisellaceae												0.05																	0.04																																																	0.02							
Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;_Caedibacter_ taeniospiralis group;NA	_Caedibacter_ taeniospiralis group																		0.02																		0.04	0.05	0.11			0.02	0.03				0.04	0.07															0.03							0.01		0.02	0.02	0.02					0.05		0.02			0.04		0.07
Bacteria;Proteobacteria;Gammaproteobacteria;Ga0077536;NA;NA;NA	Ga0077536	0.09		0.16	0.06			0.07	0.27	0.39	0.11	0.43	0.03	0.17		0.33	0.09	0.46	0.17	0.12	0.05	0.17	0.1	0.32		0.02	0.12	0.11	0.21	0.18						0.13	0.19	0.17	0.2	0.05	0.18	0.16	0.04	0.12		0.1			0.22	0.08	0.13	0.09	0.44	0.13	0.33	0.18	0.08	0.05	0.36		0.34	0.15	0.25	0.06	0.1	0.05	0.04	0.02	0.19	0.14	0.46	0.22	0.05			0.05	0.06	0.06	0.08	0.06	0.05	0.04		0.04	0.05	0.11
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Marinicella;NA	Marinicella																																															0.14																																		0.02				
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;NA;NA	Unknown Family					0.03					0.09	0.27	0.01	1.37		0.23	0.34	0.15	0.21	0.04										0.01															0.04	0.8	1.17	1.59		2.22	1.11	0.45	0.24	0.1	0.16	0.16	2.54	0.31	0.19	0.01	0.7	0.73	0.07	0.12	0.55	0.33	0.75	1.08	0.14	0.14	0.01	0.11	0.15	0.24	0.62	0.11		0.23	0.03			0.34	0.12	0.06	0.07	0.22
Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Granulosicoccaceae;Granulosicoccus;NA	Granulosicoccus																																																							0.1						0.02																								
Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;NA;NA;NA	HOC36																0.08																																																																					
Bacteria;Proteobacteria;Gammaproteobacteria;HglApr721;NA;NA;NA	HglApr721																																																																													0.02								
Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;NA;NA;NA	JTB23				0.02	0.11				0.07		0.02			0.04	0.05	0.06	0.03				0.03		0.03		0.06	0.04		0.05							0.05	0.06	0.03			0.03		0.05	0.01		0.07				0.05	0.17	0.1	0.06		0.06	0.04	0.03		0.07					0.04			0.03	0.01	0.06	0.06	0.06	0.05			0.04	0.04				0.04	0.03		0.06	0.05	0.05	0.05
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;NA	Legionella																																																													0.01																								
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;NA;NA	Legionellaceae																													0.05															0.08									0.05		0.08			0.06			0.02									0.03		0.03		0.02							0.01	0.02	0.02		
Bacteria;Proteobacteria;Gammaproteobacteria;Milano_WF1B_44;NA;NA;NA	Milano_WF1B_44									0.01								0.02																																	0.07				0.02			0.05							0.03	0.01	0.02		0.01						0.03											
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA	Gammaproteobacteria								0.21	0.21	0.13	0.18		0.24		0.08	0.05	0.26	0.11			0.08		0.2	0.09		0.07		0.1	0.19						0.03	0.04	0.05			0.04		0.02				0.21	0.07			0.12	0.11	0.18		0.15	0.09	0.14		0.11		0.24	0.12	0.08	0.12		0.06	0.09		0.09	0.21	0.08	0.14		0.01			0.11	0.11	0.12	0.08		0.04	0.06		0.04	0.04
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;NA;NA	Methylophagaceae						0.11			0.08			0.18		0.27	0.06					0.07	0.12	0.13	0.07	0.53	0.41	0.2		0.07			0.03	0.03			0.07	0.12	0.09			0.04	0.12	0.05	0.07			0.13		0.04		0.16	0.13	0.07	0.14					0.03	0.13			0.06	0.11	0.25	0.15	0.66	0.17	0.1	0.23	0.1	0.22	0.2	0.16		0.08	0.09		0.09	0.13	0.07	0.2	0.1		0.06	0.05
